Patch_Size,Features,Num_Indices,R2,RMSE,MAE,Huber,LogCosh,Time_s
8x8,Bands_13+0_Indices,0,0.1629,138.1174,111.73,111.23,111.0369,10.4
8x8,Bands_13+1_Indices,1,0.2206,133.2686,108.8302,108.3302,108.1371,12.3
8x8,Bands_13+2_Indices,2,0.2372,131.842,107.2762,106.7762,106.5831,11.5
8x8,Bands_13+3_Indices,3,0.226,132.8064,107.9572,107.4572,107.2642,13.9
8x8,Bands_13+4_Indices,4,0.2674,129.2046,106.0214,105.5237,105.3331,9.8
8x8,Bands_13+5_Indices,5,0.2793,128.1506,104.0765,103.5765,103.384,9.8
