Patch_Size,Features,Num_Indices,R2,RMSE,MAE,Huber,LogCosh,Time_s
8x8,Bands_13+0_Indices,0,0.3753,7.4695,5.374,4.8954,4.7404,9.5
8x8,Bands_13+1_Indices,1,0.1816,8.5498,6.1549,5.6719,5.5087,5.9
8x8,Bands_13+2_Indices,2,0.0537,9.1932,6.5485,6.0639,5.9017,11.5
8x8,Bands_13+3_Indices,3,-0.0766,9.8058,7.0512,6.5689,6.401,5.7
8x8,Bands_13+4_Indices,4,-0.1369,10.0771,7.0181,6.5505,6.3914,4.8
8x8,Bands_13+5_Indices,5,-0.0452,9.6618,6.606,6.1272,5.9627,5.8
