Target,Patch_Size,Features,Num_Indices,R2,RMSE,MAE,Huber,LogCosh,Time_s
P,16x16,Bands_13+2_Indices,2,0.3277,7.7487,5.8505,5.3637,5.1983,4.7
P,16x16,Bands_13+3_Indices,3,0.2249,8.3204,5.9933,5.5069,5.3437,6.0
P,16x16,Bands_13+4_Indices,4,0.0906,9.0125,6.2862,5.8079,5.6513,5.0
P,16x16,Bands_13+5_Indices,5,0.0047,9.4283,6.615,6.1386,5.9737,7.9
P,32x32,Bands_13+0_Indices,0,0.3113,7.8427,5.6918,5.2047,5.0394,8.7
P,32x32,Bands_13+1_Indices,1,-0.0498,9.6832,6.9328,6.4415,6.2751,11.7
P,32x32,Bands_13+2_Indices,2,0.081,9.0599,6.5021,6.017,5.8461,5.4
P,32x32,Bands_13+3_Indices,3,-0.0427,9.6502,6.8752,6.3935,6.2309,7.1
P,32x32,Bands_13+4_Indices,4,0.1078,8.9269,6.2068,5.7282,5.5667,6.1
P,32x32,Bands_13+5_Indices,5,0.0421,9.2495,6.353,5.8783,5.7233,9.2
P,64x64,Bands_13+0_Indices,0,0.3958,7.3459,5.3905,4.9029,4.7439,14.9
P,64x64,Bands_13+1_Indices,1,-0.0947,9.888,7.0983,6.6175,6.4522,17.7
P,64x64,Bands_13+2_Indices,2,-0.019,9.5402,6.7706,6.2808,6.113,13.3
P,64x64,Bands_13+3_Indices,3,-0.0885,9.8601,6.7753,6.2885,6.1273,11.1
P,64x64,Bands_13+4_Indices,4,0.1192,8.8696,6.3894,5.9066,5.7426,18.9
P,64x64,Bands_13+5_Indices,5,0.1882,8.5151,6.1485,5.6659,5.5038,14.8
HU,16x16,Bands_13+0_Indices,0,0.4667,0.5236,0.3896,0.1312,0.1185,5.5
HU,16x16,Bands_13+1_Indices,1,0.6072,0.4493,0.3282,0.0996,0.0904,8.7
HU,16x16,Bands_13+2_Indices,2,0.5158,0.4989,0.3857,0.1227,0.1113,6.8
HU,16x16,Bands_13+3_Indices,3,0.4042,0.5534,0.3849,0.1439,0.1285,8.8
HU,16x16,Bands_13+4_Indices,4,0.4921,0.511,0.3825,0.1239,0.1129,5.2
HU,16x16,Bands_13+5_Indices,5,0.5127,0.5005,0.4061,0.1245,0.1135,13.9
HU,32x32,Bands_13+0_Indices,0,0.5652,0.4727,0.3423,0.1069,0.0974,9.6
HU,32x32,Bands_13+1_Indices,1,0.6413,0.4294,0.3318,0.091,0.0838,7.8
HU,32x32,Bands_13+2_Indices,2,0.5982,0.4545,0.3398,0.1023,0.0932,8.6
HU,32x32,Bands_13+3_Indices,3,0.6056,0.4502,0.3316,0.0991,0.0907,8.9
HU,32x32,Bands_13+4_Indices,4,0.4354,0.5387,0.4036,0.1381,0.1249,7.7
HU,32x32,Bands_13+5_Indices,5,0.5157,0.4989,0.3787,0.123,0.1111,21.6
HU,64x64,Bands_13+0_Indices,0,0.5525,0.4796,0.3428,0.1108,0.1004,11.6
HU,64x64,Bands_13+1_Indices,1,0.5942,0.4567,0.3521,0.1029,0.0939,12.5
HU,64x64,Bands_13+2_Indices,2,0.6436,0.428,0.3112,0.0909,0.0829,25.8
HU,64x64,Bands_13+3_Indices,3,0.5623,0.4743,0.3493,0.1105,0.1002,13.1
HU,64x64,Bands_13+4_Indices,4,0.4878,0.5131,0.4031,0.128,0.1168,21.4
HU,64x64,Bands_13+5_Indices,5,0.449,0.5322,0.4054,0.1379,0.1244,12.6
NO3,16x16,Bands_13+0_Indices,0,0.2592,5.7252,3.2218,2.7798,2.6546,4.7
NO3,16x16,Bands_13+1_Indices,1,0.3698,5.2806,2.9215,2.4573,2.3334,10.3
NO3,16x16,Bands_13+2_Indices,2,0.4442,4.9592,3.0705,2.6127,2.4827,5.5
NO3,16x16,Bands_13+3_Indices,3,0.2567,5.7348,3.0092,2.5678,2.4497,7.1
NO3,16x16,Bands_13+4_Indices,4,0.2781,5.6516,2.913,2.4732,2.3552,10.8
NO3,16x16,Bands_13+5_Indices,5,0.1649,6.0788,3.311,2.8621,2.7365,9.2
