Patch_Size,Features,Num_Indices,R2,RMSE,MAE,Huber,LogCosh,Time_s
32x32,Base_39Ch+0_Indices,0,0.2303,132.4408,109.3753,108.8753,108.6822,13.6
32x32,Base_39Ch+1_Indices,1,0.0827,144.5811,116.5182,116.0182,115.8259,23.8
32x32,Base_39Ch+2_Indices,2,0.1317,140.6608,114.4007,113.9007,113.7076,14.9
32x32,Base_39Ch+3_Indices,3,0.1809,136.619,109.5182,109.0182,108.8251,21.5
32x32,Base_39Ch+4_Indices,4,0.1801,136.6914,112.6401,112.1422,111.9507,15.1
32x32,Base_39Ch+5_Indices,5,0.1996,135.0529,110.8487,110.3505,110.1588,14.8
