Patch_Size,Features,Num_Indices,R2,RMSE,MAE,Huber,LogCosh,Time_s
32x32,Base_39Ch+0_Indices,0,-0.4186,11.2563,7.8132,7.3361,7.1696,18.3
32x32,Base_39Ch+1_Indices,1,-0.1409,10.0944,7.6309,7.1474,6.9782,19.1
32x32,Base_39Ch+2_Indices,2,-0.2797,10.6909,8.0043,7.5221,7.3521,18.0
32x32,Base_39Ch+3_Indices,3,0.0135,9.3869,6.7946,6.3035,6.1349,18.7
32x32,Base_39Ch+4_Indices,4,0.1055,8.9381,6.6932,6.2105,6.0409,19.5
32x32,Base_39Ch+5_Indices,5,0.2227,8.3322,5.8646,5.3889,5.225,19.7
