Target,RF_rho,CNN_rho,RF_RMSE,CNN_RMSE,RF_R2,CNN_R2
pH (KCl),0.7983058291440659,,0.29752117212094004,,0.7943161249491741,
"SOC, %",0.7313224231744192,,0.3851948794330269,,0.5061196569861222,
"NO3, mg/kg",0.7745205250971098,,5.001500269594301,,0.5984412175933957,
"P2O5, mg/kg",0.5951958462251244,,15.36082218358893,,0.42754814762326243,
"K2O, mg/kg",0.6240098206313006,,121.35896501408855,,0.46923018386834203,
"S, mg/kg",0.5175971977625103,,3.568674368761723,,0.7803025949638366,
