Patch_Size,Features,Num_Indices,R2,RMSE,MAE,Huber,LogCosh,Time_s
32x32,Base_39Ch+0_Indices,0,0.1943,135.495,110.8476,110.3492,110.1596,20.3
32x32,Base_39Ch+1_Indices,1,-0.0254,152.8567,121.2206,120.7221,120.5306,19.7
32x32,Base_39Ch+2_Indices,2,0.0847,144.4199,115.9787,115.4787,115.2856,16.0
32x32,Base_39Ch+3_Indices,3,0.2035,134.7243,110.2371,109.7416,109.5514,19.3
32x32,Base_39Ch+4_Indices,4,-0.3123,172.9244,129.736,129.2362,129.0443,16.9
32x32,Base_39Ch+5_Indices,5,0.0532,146.8818,122.019,121.5191,121.3276,19.2
