Patch_Size,Features,Num_Indices,R2,RMSE,MAE,Huber,LogCosh,Time_s
32x32,Base_39Ch+0_Indices,0,-0.1133,3.1088,2.2377,1.8074,1.6936,28.1
32x32,Base_39Ch+1_Indices,1,-0.1117,3.1065,2.3343,1.8805,1.7591,19.9
32x32,Base_39Ch+2_Indices,2,-0.0996,3.0896,2.2261,1.7973,1.681,19.9
32x32,Base_39Ch+3_Indices,3,-0.2271,3.2637,2.4071,1.952,1.8289,38.9
32x32,Base_39Ch+4_Indices,4,-0.6839,3.8232,2.6849,2.2441,2.1195,46.4
32x32,Base_39Ch+5_Indices,5,-0.3514,3.4251,2.4748,2.0258,1.9054,50.8
