Patch_Size,Features,Num_Indices,R2,RMSE,MAE,Huber,LogCosh,Time_s
8x8,Bands_13+0_Indices,0,0.8688,0.2214,0.1656,0.0245,0.0237,31.2
8x8,Bands_13+1_Indices,1,0.8257,0.2552,0.1978,0.0326,0.0311,22.7
8x8,Bands_13+2_Indices,2,0.4339,0.4599,0.4154,0.1058,0.1001,18.7
8x8,Bands_13+3_Indices,3,0.6933,0.3385,0.278,0.0572,0.0542,18.9
8x8,Bands_13+4_Indices,4,0.8682,0.2219,0.1635,0.0246,0.0238,23.3
8x8,Bands_13+5_Indices,5,0.7578,0.3008,0.249,0.0452,0.0435,13.1
