Patch_Size,Features,Num_Indices,R2,RMSE,MAE,Huber,LogCosh,Time_s
32x32,Base_39Ch+0_Indices,0,0.4051,0.553,0.4344,0.1495,0.1345,11.8
32x32,Base_39Ch+1_Indices,1,0.4814,0.5163,0.3944,0.1301,0.1178,12.8
32x32,Base_39Ch+2_Indices,2,0.4164,0.5477,0.4237,0.1461,0.1318,8.8
32x32,Base_39Ch+3_Indices,3,0.2286,0.6297,0.4867,0.1854,0.1665,10.9
32x32,Base_39Ch+4_Indices,4,0.3957,0.5573,0.4268,0.151,0.1354,11.8
32x32,Base_39Ch+5_Indices,5,0.4554,0.5291,0.4113,0.138,0.1241,9.2
