Patch_Size,Features,Num_Indices,R2,RMSE,MAE,Huber,LogCosh,Time_s
8x8,Bands_13+0_Indices,0,-0.1306,3.1328,2.1584,1.7283,1.6194,6.7
8x8,Bands_13+1_Indices,1,-0.073,3.052,2.1578,1.7108,1.5982,8.0
8x8,Bands_13+2_Indices,2,-0.0226,2.9795,2.1489,1.6989,1.5873,9.5
8x8,Bands_13+3_Indices,3,-0.1263,3.1268,2.1835,1.753,1.642,5.9
8x8,Bands_13+4_Indices,4,-0.1375,3.1423,2.2233,1.7818,1.6663,7.7
8x8,Bands_13+5_Indices,5,-0.053,3.0234,2.1247,1.6905,1.5806,10.7
