Patch_Size,Features,Num_Indices,R2,RMSE,MAE,Huber,LogCosh,Time_s
32x32,Base_39Ch+0_Indices,0,0.3919,0.5591,0.4215,0.1517,0.1362,19.0
32x32,Base_39Ch+1_Indices,1,0.4606,0.5266,0.3952,0.1356,0.122,18.8
32x32,Base_39Ch+2_Indices,2,0.3408,0.5821,0.4779,0.1639,0.1485,16.6
32x32,Base_39Ch+3_Indices,3,0.3606,0.5733,0.447,0.1605,0.1439,18.7
32x32,Base_39Ch+4_Indices,4,0.4114,0.55,0.4026,0.1444,0.1297,22.7
32x32,Base_39Ch+5_Indices,5,0.5008,0.5066,0.3877,0.1242,0.1127,24.6
