Patch_Size,Features,Num_Indices,R2,RMSE,MAE,Huber,LogCosh,Time_s
32x32,Base_39Ch+0_Indices,0,0.4161,5.0831,3.3558,2.8948,2.7589,13.0
32x32,Base_39Ch+1_Indices,1,0.4635,4.8722,3.417,2.9531,2.8078,23.0
32x32,Base_39Ch+2_Indices,2,0.4747,4.8211,3.3905,2.9225,2.781,15.8
32x32,Base_39Ch+3_Indices,3,0.3002,5.5645,3.5563,3.0959,2.9623,9.7
32x32,Base_39Ch+4_Indices,4,0.3932,5.1815,3.6228,3.1548,3.0089,33.2
32x32,Base_39Ch+5_Indices,5,0.5749,4.3372,3.0542,2.5868,2.4465,14.7
