Patch_Size,Features,Num_Indices,R2,RMSE,MAE,Huber,LogCosh,Time_s
32x32,Base_39Ch+0_Indices,0,0.3476,5.3729,3.6149,3.1586,3.0234,29.9
32x32,Base_39Ch+1_Indices,1,0.3431,5.3911,3.4204,2.9565,2.8274,24.3
32x32,Base_39Ch+2_Indices,2,0.2993,5.5681,3.5827,3.1211,2.9859,31.9
32x32,Base_39Ch+3_Indices,3,0.4223,5.0558,3.3851,2.9224,2.7909,29.9
32x32,Base_39Ch+4_Indices,4,0.3528,5.3513,3.5983,3.1326,2.9946,31.7
32x32,Base_39Ch+5_Indices,5,0.3724,5.2698,3.4773,3.019,2.8825,41.4
